Sample number,Monoisotopic mass,Intensity,RT_start,RT_finish
4,10561.691,1.39E+08,77.253,82.488
2,10561.687,8.92E+06,74.252,78.486
1,10561.682,7.87E+06,88.744,94.23
1,10560.685,1.05E+06,90.255,91.738
2,10560.68,3.16E+06,76.503,78.225
2,10559.761,2.46E+06,40.742,43.731
3,10559.761,4.22E+06,41.253,44.473
1,10559.755,2.98E+06,41.743,45.471
2,10544.862,2.12E+06,68.503,70.228
1,10532.64,4.71E+05,64.246,65.732
4,10532.637,1.58E+06,65.743,67.231
3,10529.934,4.85E+06,84.493,86.739
4,10516.647,2.46E+06,66.497,68.234
3,10516.647,2.36E+06,65.008,66.729
2,10496.552,2.75E+05,49.993,51.974
1,10496.55,3.75E+05,51.493,53.73
2,10491.81,1.98E+07,69.249,73.482
1,10491.808,7.95E+06,73.757,78.23
4,10474.714,1.58E+07,95.247,97.981
2,10471.52,7.69E+05,49.252,51.234
4,10464.813,2.53E+06,70.244,72.489
3,10464.811,1.35E+06,69.242,70.739
4,10458.718,6.67E+07,95.499,99.474
3,10455.523,8.45E+05,52.76,55.734
1,10455.523,1.41E+06,52.759,55.485
2,10455.522,4.04E+06,50.498,53.721
2,10448.817,3.26E+06,66.248,68.494
1,10448.815,3.09E+06,69.997,72.233
3,10448.813,4.94E+06,68.742,70.989
3,10439.531,2.41E+06,54.005,56.977
4,10439.527,1.02E+06,57.005,59.235
1,10439.524,2.44E+06,54.492,57.485
2,10439.523,3.77E+06,52.498,55.486
4,10423.778,2.68E+07,70.244,74.728
3,10423.533,1.98E+06,56.258,58.48
2,10423.531,1.08E+06,54.498,56.476
4,10423.529,4.03E+05,58.748,60.239
1,10423.528,9.35E+05,56.746,58.723
2,10407.79,3.85E+07,67.497,71.237
3,10407.788,9.46E+07,69.747,74.232
1,10407.788,3.02E+07,71.243,75.971
4,10407.783,1.57E+08,70.491,75.728
2,10406.798,2.73E+06,66.75,68.242
1,10406.792,1.47E+06,70.497,71.985
3,10392.643,1.75E+05,38.495,40.24
1,10391.792,8.35E+07,70.999,77.979
3,10391.791,3.00E+08,69.242,75.233
2,10391.79,1.23E+08,68.251,72.478
4,10391.788,2.72E+08,70.491,76.987
4,10376.771,8.81E+06,72.744,74.728
2,10375.771,3.01E+06,69.249,71.487
1,10375.77,7.60E+05,73.498,75.237
3,10375.77,9.56E+06,71.243,73.728
4,10375.768,2.44E+06,73.992,75.473
4,10367.605,2.95E+05,44.003,45.724
4,10362.749,2.65E+06,72.744,74.477
3,10361.756,8.09E+05,71.758,73.228
3,10351.605,5.31E+06,41,45.229
2,10351.605,3.39E+06,40.742,43.983
4,10351.604,3.07E+06,43.245,46.728
1,10351.597,2.15E+06,41.996,45.239
4,10347.749,5.13E+06,72.996,75.222
2,10346.759,1.01E+06,69.506,71.237
3,10346.748,4.26E+06,71.509,73.728
1,10344.291,4.06E+06,120.745,122.477
4,10335.607,3.36E+06,43.499,47.482
2,10335.606,3.50E+06,41.752,44.738
3,10335.604,1.47E+07,41,47.738
1,10335.602,2.57E+06,43.258,46.988
4,10334.731,2.96E+06,73.241,74.728
3,10334.728,2.84E+06,71.509,73.482
4,10320.723,3.00E+06,73.241,74.728
3,10320.719,4.48E+06,71.509,73.482
2,10303.267,1.67E+07,118.26,120.737
1,10303.264,2.08E+07,121.997,124.232
1,10302.27,5.73E+06,121.258,122.735
1,10287.271,6.46E+07,121.997,124.983
2,10287.27,4.10E+07,118.505,121.728
4,10283.657,2.16E+06,74.247,76.238
2,10267.657,1.56E+07,70.498,74.235
1,10267.656,5.26E+06,74.996,79.483
4,10267.654,9.02E+06,73.992,77.984
3,10267.651,9.55E+06,72.996,76.473
3,10266.656,1.79E+06,72.253,73.728
4,10234.565,5.81E+06,94.747,97.232
2,10232.397,1.61E+05,37.242,39.237
2,10216.399,5.12E+05,38.253,40.975
4,10167.638,9.83E+06,71.492,74.477
3,10143.448,5.93E+05,42.244,45.48
4,10143.443,2.42E+05,46.497,47.988
2,10127.454,1.06E+06,42.992,45.224
4,10127.449,2.56E+06,44.003,48.973
1,10127.446,3.74E+05,44.248,46.232
3,10127.446,3.11E+06,43.502,46.725
4,10111.452,2.77E+06,44.003,49.481
3,10111.448,6.73E+06,41.991,48.235
2,10111.448,1.45E+06,43.751,46.232
1,10111.444,3.39E+05,45.996,47.729
3,10094.128,3.86E+06,119.254,121.225
2,10078.134,1.95E+06,117.246,118.73
1,10077.134,2.39E+06,120.992,122.477
4,10053.109,4.79E+06,121.245,122.984
4,10037.113,2.83E+07,120.76,124.236
3,10037.109,5.24E+07,120.741,124.484
2,10037.107,3.38E+07,118.26,121.223
1,10037.101,7.05E+06,122.258,123.989
2,10036.118,1.20E+07,116.744,118.986
3,10036.115,1.00E+07,119.254,121.487
1,10036.114,4.95E+06,121.258,122.975
3,10022.095,1.53E+06,118.499,120.225
4,10021.12,2.97E+07,121.496,124.737
1,10021.116,4.14E+07,121.997,124.983
3,10021.116,1.03E+08,119.001,125.238
2,10021.114,6.31E+07,118.505,121.978
4,9812.962,1.35E+07,121.245,124.487
4,9796.967,1.38E+07,121.746,124.737
3,9796.965,8.33E+06,122.003,124.484
2,9605.776,1.08E+06,73.502,74.983
2,9581.744,1.89E+06,73.254,74.738
1,9581.742,1.65E+06,77.009,78.983
2,9576.094,2.01E+06,97.995,100.48
4,9576.093,3.46E+06,99.249,101.48
2,9565.751,1.26E+07,74.008,77.989
1,9565.745,1.00E+07,78.25,82.487
4,9560.097,1.04E+07,99.249,101.973
3,9560.096,9.02E+06,98.247,100.728
2,9560.094,4.01E+06,97.995,100.48
1,9549.751,1.62E+07,80.004,84.973
3,9549.75,7.81E+06,79.746,82.737
2,9549.749,1.81E+07,76.259,80.489
1,9533.759,8.60E+06,83.002,85.977
2,9533.755,9.64E+06,78.998,81.235
3,9533.753,9.89E+06,81.757,83.729
4,9533.752,8.85E+05,83.504,84.974
1,9508.314,2.37E+06,64.748,66.978
2,9508.313,1.68E+06,62.248,63.986
4,9458.266,2.36E+06,78.493,80.236
4,9402.925,2.15E+04,31.01,32.721
4,9335.945,3.18E+06,99.744,101.973
4,9323.222,1.01E+07,94.497,96.726
3,9323.212,5.90E+06,93.492,95.49
4,9284.163,1.28E+06,68.745,70.233
1,9284.159,5.88E+07,66.24,69.98
3,9284.159,4.39E+07,66.259,69.222
2,9284.153,6.09E+07,63.752,67.481
2,9273.07,3.84E+05,49.756,51.49
3,9273.068,4.49E+05,51.26,53.224
1,9273.065,3.73E+05,51.745,53.476
1,9215.594,1.18E+06,46.756,48.735
4,9193.777,8.64E+05,125.995,127.483
3,9164.658,9.72E+05,41.991,43.732
1,9164.654,5.40E+05,42.501,44.735
4,9091.99,2.12E+06,70.76,72.243
2,9083.669,1.83E+05,40.254,41.735
2,9076.862,2.09E+06,67.497,68.979
4,9075.997,2.55E+07,70.244,73.221
3,9075.99,9.57E+06,69,71.738
2,9067.674,2.92E+05,44.757,46.232
2,9060.935,1.24E+07,67.993,72.989
